"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"34" "New London County" "CT" 15086 325 270772 206261 14093 11128 1221 27186 69411 13837 15258 133786 10006 258574 8859 10081 25689 29526 42783 27549 7335 14434 112032 15680 55.7147710989319 1.20027181540189 0.021543152591807 38151 54152 54405 16030 34115 21043
"35" "Orange County" "VT" 392 1 28901 27649 188 95 117 386 56584 1575 1106 15343 682 28337 142 1089 3249 4083 5589 2304 299 1545 10720 2250 13.5635445140307 0.0346008788623231 0.00255102040816327 3875 5512 5621 1892 3702 1850
"36" "Coos County" "NH" 983 21 32119 30058 739 182 137 549 45386 2112 1530 14728 957 29961 387 790 3989 6189 5517 1903 270 1512 10646 1718 30.6049378872319 0.653818612036489 0.0213631739572737 3915 5368 7336 2544 3033 1101
"37" "Rutland County" "VT" 673 9 59676 57018 445 632 206 817 52635 3581 2043 30152 1479 57588 669 2236 6541 9716 11007 3830 607 2639 23851 2626 11.2775655204772 0.150814397747838 0.0133729569093611 7622 10798 11685 3610 8137 3564
"38" "Hampden County" "MA" 33547 1138 469188 300617 36646 10126 622 112302 52205 41818 40929 215324 18630 454651 16260 15683 78315 71702 65403 34496 7330 21055 176764 21628 71.5001236178248 2.42546697699003 0.0339225564133902 73055 103933 90429 30706 49416 26334
"39" "Essex County" "MA" 71834 1862 775860 558478 23782 26448 619 152189 73533 43713 45403 397621 25451 759365 57224 32710 82434 84635 101347 74982 30695 60759 267890 90455 92.5862913412214 2.39991751089114 0.0259208731241473 118416 169026 134614 44397 124302 62203
"40" "Bristol County" "MA" 45439 1242 557016 461175 19353 12214 175 40913 62514 35367 33416 278538 20762 541142 26022 21353 65842 73985 78165 51240 12513 31520 203207 53075 81.5757536587818 2.22973846352708 0.0273333480050177 81682 116916 105263 35387 66555 30140
"41" "Kent County" "RI" 11802 227 164012 146824 2191 4078 139 7165 69047 9102 5840 87822 5743 162382 3187 6468 12687 20299 26720 18012 3982 8341 70699 10563 71.9581494037022 1.38404506987294 0.0192340281308253 21434 31586 37884 13315 24534 10471
"42" "Franklin County" "VT" 673 33 48816 45986 302 151 256 701 62214 2994 1980 25865 1186 48308 511 2345 3879 5712 8253 4010 674 2464 18293 4357 13.786463454605 0.676007866273353 0.0490341753343239 7590 11170 9731 3427 5594 2047
"43" "Sussex County" "DE" 18844 320 215551 161347 26144 2546 758 19860 57901 11322 11618 94271 6114 212233 9077 7982 25479 28724 37551 16052 3995 7537 71899 12156 87.4224661449031 1.48456745735348 0.0169815325833156 27299 41512 45079 15183 23094 12765
